studentsNumber,outOf5Stars,url,grades,lowIncomeRaceDisbilityJson,schoolTitle,totalNumReviews,StarBreakout,types
671,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6083-Howard-Pence-Elementary-School/?s_cid=gsapi,K-6,,Howard Pence Elementary School,21,"4,2,2,2,4",Public
"1,569",4 out of 5 stars,https://www.greatschools.org/california/oceanside/25014-Mission-Vista-High-School/?s_cid=gsapi,9-12,,Mission Vista High School,32,"9,2,1,2,0",Public
823,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6038-Morning-Creek-Elementary-School/?s_cid=gsapi,K-5,,Morning Creek Elementary School,39,"18,0,1,2,1",Public
829,4 out of 5 stars,https://www.greatschools.org/california/hayward/124-Martin-Luther-King-Jr.-Middle-School/?s_cid=gsapi,7-8,,"Martin Luther King, Jr. Middle School",14,"10,1,0,0,3",Public
"1,509",4 out of 5 stars,https://www.greatschools.org/california/santee/5930-Santana-High-School/?s_cid=gsapi,9-12,,Santana High School,13,"6,3,1,0,2",Public
506,4 out of 5 stars,https://www.greatschools.org/california/spring-valley/5977-Spring-Valley-Middle-School/?s_cid=gsapi,7-8,,Spring Valley Middle School,27,"13,5,2,2,3",Public
440,4 out of 5 stars,https://www.greatschools.org/california/san-diego/24784-Urban-Discovery-Academy-Charter-School/?s_cid=gsapi,K-8,,Urban Discovery Academy Charter School,167,"49,2,7,5,16",Public charter
350,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6254-Webster-Elementary-School/?s_cid=gsapi,K-6,,Webster Elementary School,3,"0,2,1,0,0",Public
634,4 out of 5 stars,https://www.greatschools.org/california/vista/6318-Grapevine-Elementary-School/?s_cid=gsapi,K-5,,Grapevine Elementary School,35,"10,4,0,1,5",Public
495,5 out of 5 stars,https://www.greatschools.org/california/ramona/6056-James-Dukes-Elementary-School/?s_cid=gsapi,K-6,,James Dukes Elementary School,12,"7,2,1,0,0",Public
776,3 out of 5 stars,https://www.greatschools.org/california/fallbrook/5918-James-E.-Potter-Intermediate-School/?s_cid=gsapi,7-8,,James E. Potter Intermediate School,20,"8,3,1,2,5",Public
525,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6212-Nye-Elementary-School/?s_cid=gsapi,K-5,,Nye Elementary School,12,"6,2,1,1,0",Public
544,2 out of 5 stars,https://www.greatschools.org/california/ramona/6055-Hanson-Elementary-School/?s_cid=gsapi,K-6,,Hanson Elementary School,3,"0,1,0,0,2",Public
207,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6170-Juarez-Elementary-School/?s_cid=gsapi,K-5,,Juarez Elementary School,24,"9,1,0,2,1",Public
"1,097",4 out of 5 stars,https://www.greatschools.org/california/chula-vista/12451-Hedenkamp-Anne-And-William-Elementary-School/?s_cid=gsapi,K-6,,Hedenkamp (Anne And William) Elementary School,17,"7,1,3,1,2",Public
566,4 out of 5 stars,https://www.greatschools.org/california/san-diego/5838-Juarez-Lincoln-Elementary-School/?s_cid=gsapi,K-6,,Juarez-Lincoln Elementary School,30,"5,5,0,1,1",Public
200,4 out of 5 stars,https://www.greatschools.org/california/julian/5936-Julian-Elementary-School/?s_cid=gsapi,K-5,,Julian Elementary School,15,"6,0,0,1,2",Public
"2,467",4 out of 5 stars,https://www.greatschools.org/california/julian/11103-Julian-Charter-School/?s_cid=gsapi,K-12,,Julian Charter School,47,"17,4,3,2,5",Public charter
525,4 out of 5 stars,https://www.greatschools.org/california/walnut-creek/462-Bancroft-Elementary-School/?s_cid=gsapi,K-5,,Bancroft Elementary School,25,"10,2,1,0,2",Public
540,3 out of 5 stars,https://www.greatschools.org/california/spring-valley/5957-Avondale-Elementary-School/?s_cid=gsapi,K-6,,Avondale Elementary School,16,"1,0,0,1,1",Public
397,5 out of 5 stars,https://www.greatschools.org/california/spring-valley/5959-Casa-De-Oro-Elementary-School/?s_cid=gsapi,K-6,,Casa De Oro Elementary School,13,"10,2,0,0,1",Public
376,3 out of 5 stars,https://www.greatschools.org/california/orange/3928-Fletcher-Elementary-School/?s_cid=gsapi,K-6,,Fletcher Elementary School,36,"9,5,2,1,9",Public
745,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6033-Highland-Ranch-Elementary-School/?s_cid=gsapi,K-5,,Highland Ranch Elementary School,74,"16,2,3,3,8",Public
775,5 out of 5 stars,https://www.greatschools.org/california/compton/1602-Kelly-Elementary-School/?s_cid=gsapi,K-7,,Kelly Elementary School,1,"1,0,0,0,0",Public
595,4 out of 5 stars,https://www.greatschools.org/california/la-jolla/6179-La-Jolla-Elementary-School/?s_cid=gsapi,K-5,,La Jolla Elementary School,28,"15,2,1,2,1",Public
"1,588",3 out of 5 stars,https://www.greatschools.org/california/la-jolla/6180-La-Jolla-High-School/?s_cid=gsapi,9-12,,La Jolla High School,74,"9,1,2,3,5",Public
498,3 out of 5 stars,https://www.greatschools.org/california/san-ysidro/6299-La-Mirada-Elementary-School/?s_cid=gsapi,4-6,,La Mirada Elementary School,5,"0,0,2,1,0",Public
349,4 out of 5 stars,https://www.greatschools.org/california/santa-cruz/5728-Live-Oak-Elementary-School/?s_cid=gsapi,K-5,,Live Oak Elementary School,4,"3,0,0,1,0",Public
941,5 out of 5 stars,https://www.greatschools.org/california/los-angeles/2229-Marvin-Elementary-School/?s_cid=gsapi,K-5,,Marvin Elementary School,31,"8,3,1,0,0",Public
"1,033",4 out of 5 stars,https://www.greatschools.org/california/la-jolla/6208-Muirlands-Middle-School/?s_cid=gsapi,6-8,,Muirlands Middle School,64,"14,8,8,7,2",Public
152,5 out of 5 stars,https://www.greatschools.org/california/vista/24630-North-County-Trade-Tech-High-School/?s_cid=gsapi,9-12,,North County Trade Tech High School,5,"5,0,0,0,0",Public charter
840,5 out of 5 stars,https://www.greatschools.org/california/el-monte/2664-Parkview-Elementary-School/?s_cid=gsapi,K-6,,Parkview Elementary School,5,"4,0,0,0,0",Public
"2,183",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6044-Rancho-Bernardo-High-School/?s_cid=gsapi,9-12,,Rancho Bernardo High School,44,"16,2,2,0,6",Public
"1,717",3 out of 5 stars,https://www.greatschools.org/california/san-diego/6296-Southwest-Senior-High-School/?s_cid=gsapi,9-12,,Southwest Senior High School,18,"5,1,0,0,4",Public
"2,493",4 out of 5 stars,https://www.greatschools.org/california/escondido/5907-Escondido-High-School/?s_cid=gsapi,9-12,,Escondido High School,7,"5,0,2,0,0",Public
266,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6181-Lafayette-Elementary-School/?s_cid=gsapi,K-6,,Lafayette Elementary School,15,"4,0,0,0,1",Public
173,4 out of 5 stars,https://www.greatschools.org/california/orland/979-Lake-Elementary-School/?s_cid=gsapi,K-8,,Lake Elementary School,9,"1,1,0,1,0",Public
666,4 out of 5 stars,https://www.greatschools.org/california/lakeside/5941-Lakeside-Farms-Elementary-School/?s_cid=gsapi,K-5,,Lakeside Farms Elementary School,25,"13,2,0,0,3",Public
964,4 out of 5 stars,https://www.greatschools.org/california/la-mesa/14557-Learning-Choice-Academy/?s_cid=gsapi,K-12,,Learning Choice Academy,27,"14,4,0,1,6",Public charter
463,5 out of 5 stars,https://www.greatschools.org/california/yorba-linda/3965-Linda-Vista-Elementary-School/?s_cid=gsapi,K-5,,Linda Vista Elementary School,23,"12,1,2,1,0",Public
817,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5820-Naranca-Elementary-School/?s_cid=gsapi,K-5,,Naranca Elementary School,17,"8,3,1,1,1",Public
980,4 out of 5 stars,https://www.greatschools.org/california/santee/6071-Rio-Seco-Elementary-School/?s_cid=gsapi,K-8,,Rio Seco Elementary School,27,"8,1,1,1,2",Public
882,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/12035-McMillin-Corky-Elementary-School/?s_cid=gsapi,K-6,,McMillin (Corky) Elementary School,31,"10,2,2,2,1",Public
250,5 out of 5 stars,https://www.greatschools.org/california/el-cajon/5822-Rios-Elementary-School/?s_cid=gsapi,K-5,,Rios Elementary School,19,"5,2,0,0,0",Public
45,4 out of 5 stars,https://www.greatschools.org/california/san-diego/31646-Thrive-Public/?s_cid=gsapi,K-8,,Thrive Public,109,"17,0,2,1,2",Public charter
472,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5850-Rogers-Greg-Elementary-School/?s_cid=gsapi,K-6,,Rogers (Greg) Elementary School,13,"7,1,1,0,1",Public
656,4 out of 5 stars,https://www.greatschools.org/california/la-mesa/5967-Lemon-Avenue-Elementary-School/?s_cid=gsapi,K-6,,Lemon Avenue Elementary School,36,"21,7,3,1,1",Public
774,4 out of 5 stars,https://www.greatschools.org/california/el-monte/2663-Monte-Vista-Elementary-School/?s_cid=gsapi,K-8,,Monte Vista Elementary School,8,"3,1,0,1,0",Public
"2,014",5 out of 5 stars,https://www.greatschools.org/california/san-diego/6039-Mt.-Carmel-High-School/?s_cid=gsapi,9-12,,Mt. Carmel High School,31,"15,1,0,1,1",Public
428,4 out of 5 stars,https://www.greatschools.org/california/lemon-grove/5954-San-Altos-Elementary-School/?s_cid=gsapi,PK-6,,San Altos Elementary School,9,"6,1,0,0,2",Public
422,4 out of 5 stars,https://www.greatschools.org/california/santa-rosa/7050-San-Miguel-Elementary-School/?s_cid=gsapi,K-6,,San Miguel Elementary School,14,"6,2,0,1,2",Public charter
"2,567",4 out of 5 stars,https://www.greatschools.org/california/vista/6328-Vista-High-School/?s_cid=gsapi,9-12,,Vista High School,34,"7,8,0,4,2",Public
495,3 out of 5 stars,https://www.greatschools.org/california/campo/5980-Campo-Elementary-School/?s_cid=gsapi,PK-8,,Campo Elementary School,21,"7,3,1,2,5",Public
230,4 out of 5 stars,https://www.greatschools.org/california/la-mesa/25221-College-Preparatory-Middle-School/?s_cid=gsapi,5-8,,College Preparatory Middle School,32,"20,0,1,1,7",Public charter
186,4 out of 5 stars,https://www.greatschools.org/california/descanso/5982-Descanso-Elementary-School/?s_cid=gsapi,PK-5,,Descanso Elementary School,23,"5,0,1,1,1",Public
"1,502",4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5812-Hillsdale-Middle-School/?s_cid=gsapi,6-8,,Hillsdale Middle School,41,"18,3,3,3,3",Public
"1,808",3 out of 5 stars,https://www.greatschools.org/california/san-diego/6207-Morse-High-School/?s_cid=gsapi,9-12,,Morse High School,24,"5,7,2,2,6",Public
199,4 out of 5 stars,https://www.greatschools.org/california/pioneer/330-Pioneer-Elementary-School/?s_cid=gsapi,K-6,,Pioneer Elementary School,11,"4,5,0,1,1",Public
"1,064",5 out of 5 stars,https://www.greatschools.org/california/san-diego/14624-Porter-Elementary-School/?s_cid=gsapi,K-6,,Porter Elementary School,9,"4,1,0,0,0",Public
200,5 out of 5 stars,https://www.greatschools.org/california/pine-valley/25265-San-Diego-Virtual/?s_cid=gsapi,6-12,,San Diego Virtual,1,"1,0,0,0,0",Public charter
677,3 out of 5 stars,https://www.greatschools.org/california/national-city/5989-Central-Elementary-School/?s_cid=gsapi,K-6,,Central Elementary School,10,"0,1,1,4,0",Public
"1,124",,https://www.greatschools.org/california/merced/31102-El-Capitan-High/?s_cid=gsapi,9-12,,El Capitan High,None,,Public
"1,700",4 out of 5 stars,https://www.greatschools.org/california/duarte/31974-Inspire-Charter-Schools/?s_cid=gsapi,PK-12,,Inspire Charter Schools,27,"2,0,0,0,1",Public charter
665,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6167-Jerabek-Elementary-School/?s_cid=gsapi,K-5,,Jerabek Elementary School,67,"17,5,4,6,3",Public
613,5 out of 5 stars,https://www.greatschools.org/california/spring-valley/5962-Kempton-Street-Elementary-School/?s_cid=gsapi,K-6,,Kempton Street Elementary School,9,"7,2,0,0,0",Public
549,5 out of 5 stars,https://www.greatschools.org/california/el-dorado-hills/13865-Lakeview-Elementary-School/?s_cid=gsapi,K-5,,Lakeview Elementary School,13,"8,3,1,0,0",Public
414,4 out of 5 stars,https://www.greatschools.org/california/tulare/7461-Liberty-Elementary-School/?s_cid=gsapi,K-8,,Liberty Elementary School,28,"6,2,3,1,2",Public
847,3 out of 5 stars,https://www.greatschools.org/california/ramona/6059-Olive-Peirce-Middle-School/?s_cid=gsapi,7-8,,Olive Peirce Middle School,24,"4,2,3,3,6",Public
666,4 out of 5 stars,https://www.greatschools.org/california/poway/6040-Painted-Rock-Elementary-School/?s_cid=gsapi,K-5,,Painted Rock Elementary School,16,"6,0,1,0,2",Public
"1,628",3 out of 5 stars,https://www.greatschools.org/california/chula-vista/6294-Rancho-Del-Rey-Middle-School/?s_cid=gsapi,7-8,,Rancho Del Rey Middle School,47,"8,5,5,5,9",Public
547,4 out of 5 stars,https://www.greatschools.org/california/hayward/112-Cesar-Chavez-Middle-School/?s_cid=gsapi,7-8,,Cesar Chavez Middle School,11,"7,0,1,0,2",Public
468,4 out of 5 stars,https://www.greatschools.org/california/saratoga/5440-Christa-McAuliffe-Elementary-School/?s_cid=gsapi,K-8,,Christa McAuliffe Elementary School,245,"74,6,3,6,7",Public
"1,363",5 out of 5 stars,https://www.greatschools.org/california/oceanside/12561-Coastal-Academy/?s_cid=gsapi,K-8,,Coastal Academy,50,"35,3,1,0,2",Public charter
444,3 out of 5 stars,https://www.greatschools.org/california/bakersfield/1354-Del-Rio-Elementary-School/?s_cid=gsapi,K-6,,Del Rio Elementary School,19,"6,3,0,0,5",Public
425,4 out of 5 stars,https://www.greatschools.org/california/oceanside/6003-E.-G.-Garrison-Elementary-School/?s_cid=gsapi,K-5,,E. G. Garrison Elementary School,22,"13,2,1,2,1",Public
705,4 out of 5 stars,https://www.greatschools.org/california/carlsbad/11833-El-Camino-Creek-Elementary-School/?s_cid=gsapi,K-6,,El Camino Creek Elementary School,69,"18,2,4,3,5",Public
300,4 out of 5 stars,https://www.greatschools.org/california/national-city/12339-Integrity-Charter-School/?s_cid=gsapi,K-8,,Integrity Charter School,19,"8,6,0,0,4",Public charter
579,4 out of 5 stars,https://www.greatschools.org/california/patterson/7285-Las-Palmas-Elementary-School/?s_cid=gsapi,K-5,,Las Palmas Elementary School,9,"2,3,1,0,1",Public
"1,042",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6184-Lewis-Middle-School/?s_cid=gsapi,6-8,,Lewis Middle School,34,"9,1,3,0,3",Public
638,,https://www.greatschools.org/california/exeter/31046-Lincoln-Elementary/?s_cid=gsapi,K-5,,Lincoln Elementary,None,,Public
663,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/16871-Los-Coches-Creek-Middle-School/?s_cid=gsapi,6-8,,Los Coches Creek Middle School,39,"17,3,4,1,3",Public
504,4 out of 5 stars,https://www.greatschools.org/california/pomona/2825-Marshall-Middle-School/?s_cid=gsapi,6-8,,Marshall Middle School,6,"2,1,1,0,1",Public
759,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6204-Miramar-Ranch-Elementary-School/?s_cid=gsapi,K-5,,Miramar Ranch Elementary School,29,"14,4,3,1,3",Public
626,4 out of 5 stars,https://www.greatschools.org/california/escondido/5899-North-Broadway-Elementary-School/?s_cid=gsapi,K-5,,North Broadway Elementary School,21,"8,2,1,2,2",Public
590,4 out of 5 stars,https://www.greatschools.org/california/encinitas/5883-Ocean-Knoll-Elementary-School/?s_cid=gsapi,K-6,,Ocean Knoll Elementary School,109,"43,2,3,2,4",Public
590,5 out of 5 stars,https://www.greatschools.org/california/national-city/5998-Palmer-Way/?s_cid=gsapi,K-6,,Palmer Way,8,"3,0,0,0,0",Public
588,5 out of 5 stars,https://www.greatschools.org/california/el-cajon/5821-Rancho-San-Diego-Elementary-School/?s_cid=gsapi,K-5,,Rancho San Diego Elementary School,20,"11,4,1,0,0",Public
382,4 out of 5 stars,https://www.greatschools.org/california/oceanside/6019-San-Luis-Rey-Elementary-School/?s_cid=gsapi,K-5,,San Luis Rey Elementary School,11,"5,1,0,1,1",Public
280,4 out of 5 stars,https://www.greatschools.org/california/santa-margarita/6772-Santa-Margarita-Elementary-School/?s_cid=gsapi,K-6,,Santa Margarita Elementary School,9,"3,4,0,1,0",Public
390,4 out of 5 stars,https://www.greatschools.org/california/rancho-santa-fe/6274-Solana-Santa-Fe-Elementary-School/?s_cid=gsapi,K-6,,Solana Santa Fe Elementary School,29,"13,0,2,2,0",Public
372,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6026-Adobe-Bluffs-Elementary-School/?s_cid=gsapi,K-5,,Adobe Bluffs Elementary School,19,"5,1,3,0,2",Public
"2,195",4 out of 5 stars,https://www.greatschools.org/california/spring-valley/11835-Steele-Canyon-High-School/?s_cid=gsapi,9-12,,Steele Canyon High School,41,"20,0,0,3,3",Public charter
"1,449",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6027-Bernardo-Heights-Middle-School/?s_cid=gsapi,6-8,,Bernardo Heights Middle School,52,"13,1,3,5,4",Public
"1,275",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6028-Black-Mountain-Middle-School/?s_cid=gsapi,6-8,,Black Mountain Middle School,31,"11,0,0,2,1",Public
795,3 out of 5 stars,https://www.greatschools.org/california/irvine/3813-Canyon-View-Elementary-School/?s_cid=gsapi,K-6,,Canyon View Elementary School,23,"7,1,2,0,5",Public
900,4 out of 5 stars,https://www.greatschools.org/california/palmdale/2743-Chaparral-Elementary-School/?s_cid=gsapi,K-6,,Chaparral Elementary School,13,"5,0,0,1,1",Public
556,5 out of 5 stars,https://www.greatschools.org/california/stockton/6556-Creekside-Elementary-School/?s_cid=gsapi,PK-6,,Creekside Elementary School,5,"4,1,0,0,0",Public
630,4 out of 5 stars,https://www.greatschools.org/california/alta-loma/4958-Deer-Canyon-Elementary-School/?s_cid=gsapi,K-6,,Deer Canyon Elementary School,20,"9,1,5,1,1",Public
904,4 out of 5 stars,https://www.greatschools.org/california/crescent-city/656-Del-Norte-High-School/?s_cid=gsapi,9-12,,Del Norte High School,6,"1,2,0,0,1",Public
573,5 out of 5 stars,https://www.greatschools.org/california/san-diego/24651-Del-Sur-Elementary-School/?s_cid=gsapi,K-5,,Del Sur Elementary School,47,"32,0,0,0,0",Public
831,5 out of 5 stars,https://www.greatschools.org/california/san-diego/31818-Design-39-Campus/?s_cid=gsapi,K-6,,Design 39 Campus,13,"1,0,0,0,0",Public
475,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6148-Gage-Elementary-School/?s_cid=gsapi,K-5,,Gage Elementary School,77,"33,5,0,3,7",Public
325,4 out of 5 stars,https://www.greatschools.org/california/san-marcos/25134-High-Tech-Middle-North-County-School/?s_cid=gsapi,6-8,,High Tech Middle North County School,18,"7,1,2,1,1",Public charter
568,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6199-McKinley-Elementary-School/?s_cid=gsapi,K-5,,McKinley Elementary School,126,"38,8,2,0,0",Public
"1,657",4 out of 5 stars,https://www.greatschools.org/california/spring-valley/5928-Monte-Vista-High-School/?s_cid=gsapi,9-12,,Monte Vista High School,18,"8,3,3,1,1",Public
815,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5819-Montgomery-Middle-School/?s_cid=gsapi,6-8,,Montgomery Middle School,15,"4,1,1,0,2",Public
225,3 out of 5 stars,https://www.greatschools.org/california/ramona/11107-Mountain-Valley-Academy/?s_cid=gsapi,K-12,,Mountain Valley Academy,31,"4,0,0,0,4",Public
522,4 out of 5 stars,https://www.greatschools.org/california/oak-park/7636-Oak-Hills-Elementary-School/?s_cid=gsapi,K-5,,Oak Hills Elementary School,25,"4,4,3,2,0",Public
453,4 out of 5 stars,https://www.greatschools.org/california/oceanside/11126-Pacific-View-Charter-School/?s_cid=gsapi,K-12,,Pacific View Charter School,13,"7,1,0,0,4",Public charter
536,4 out of 5 stars,https://www.greatschools.org/california/encinitas/5886-Park-Dale-Lane-Elementary-School/?s_cid=gsapi,K-6,,Park Dale Lane Elementary School,37,"14,2,0,2,6",Public
"1,880",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6224-Point-Loma-High-School/?s_cid=gsapi,9-12,,Point Loma High School,59,"16,6,4,2,3",Public
996,4 out of 5 stars,https://www.greatschools.org/california/el-monte/1722-Potrero-Elementary-School/?s_cid=gsapi,PK-8,,Potrero Elementary School,10,"5,2,0,1,2",Public
496,4 out of 5 stars,https://www.greatschools.org/california/ramona/6060-Ramona-Elementary-School/?s_cid=gsapi,K-6,,Ramona Elementary School,3,"2,0,0,0,1",Public
561,4 out of 5 stars,https://www.greatschools.org/california/la-mesa/5975-Rolando-Elementary-School/?s_cid=gsapi,K-6,,Rolando Elementary School,38,"18,5,2,2,0",Public
678,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6237-Sherman-Elementary-School/?s_cid=gsapi,K-5,,Sherman Elementary School,9,"4,0,0,1,0",Public
"1,072",3 out of 5 stars,https://www.greatschools.org/california/san-diego/6240-Standley-Middle-School/?s_cid=gsapi,6-8,,Standley Middle School,88,"19,6,6,8,25",Public
990,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14490-Stone-Ranch-Elementary-School/?s_cid=gsapi,K-5,,Stone Ranch Elementary School,18,"4,2,1,0,1",Public
503,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6084-Sunnyslope-Elementary-School/?s_cid=gsapi,K-6,,Sunnyslope Elementary School,12,"2,0,0,0,3",Public
413,5 out of 5 stars,https://www.greatschools.org/california/san-diego/24726-Memorial-Scholars--Athletes-School/?s_cid=gsapi,6-8,,Memorial Scholars & Athletes School,1,"1,0,0,0,0",Public
550,4 out of 5 stars,https://www.greatschools.org/california/la-jolla/6245-Torrey-Pines-Elementary-School/?s_cid=gsapi,K-5,,Torrey Pines Elementary School,47,"13,2,5,3,1",Public
573,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6050-Turtleback-Elementary-School/?s_cid=gsapi,K-5,,Turtleback Elementary School,14,"9,1,2,0,0",Public
214,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6255-Wegeforth-Elementary-School/?s_cid=gsapi,K-5,,Wegeforth Elementary School,14,"5,1,0,1,1",Public
"1,958",4 out of 5 stars,https://www.greatschools.org/california/santee/5932-West-Hills-High-School/?s_cid=gsapi,9-12,,West Hills High School,34,"16,2,2,5,4",Public
649,5 out of 5 stars,https://www.greatschools.org/california/fallbrook/11099-William-H.-Frazier-Elementary-School/?s_cid=gsapi,K-6,,William H. Frazier Elementary School,12,"3,2,0,0,0",Public
488,4 out of 5 stars,https://www.greatschools.org/california/ramona/6054-Barnett-Elementary-School/?s_cid=gsapi,K-6,,Barnett Elementary School,26,"9,2,0,0,4",Public
418,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6147-Fulton-K-8/?s_cid=gsapi,K-8,,Fulton K-8,6,"3,0,0,0,3",Public
665,4 out of 5 stars,https://www.greatschools.org/california/vista/12483-Hannalei-Elementary-School/?s_cid=gsapi,K-5,,Hannalei Elementary School,26,"9,1,2,2,0",Public
"1,483",4 out of 5 stars,https://www.greatschools.org/california/spring-valley/5929-Mount-Miguel-High-School/?s_cid=gsapi,9-12,,Mount Miguel High School,16,"3,4,0,0,1",Public
775,4 out of 5 stars,https://www.greatschools.org/california/oceanside/6004-Ivey-Ranch-Elementary-School/?s_cid=gsapi,K-5,,Ivey Ranch Elementary School,81,"30,6,2,2,2",Public
282,4 out of 5 stars,https://www.greatschools.org/california/san-diego/11109-Mt.-Everest-Academy/?s_cid=gsapi,K-12,,Mt. Everest Academy,88,"23,6,2,1,1",Public
251,3 out of 5 stars,https://www.greatschools.org/california/san-diego/25643-Old-Town-Academy-K-8-Charter/?s_cid=gsapi,K-8,,Old Town Academy K-8 Charter,147,"38,5,2,3,22",Public charter
441,4 out of 5 stars,https://www.greatschools.org/california/rancho-santa-fe/6062-R.-Roger-Rowe-Elementary-School/?s_cid=gsapi,PK-5,,R. Roger Rowe Elementary School,38,"14,3,4,2,1",Public
250,4 out of 5 stars,https://www.greatschools.org/california/rancho-santa-fe/6063-R.-Roger-Rowe-Middle-School/?s_cid=gsapi,6-8,,R. Roger Rowe Middle School,10,"6,1,0,0,2",Public
"1,700",5 out of 5 stars,https://www.greatschools.org/california/san-diego/6215-The-OFarrell-Charter-School/?s_cid=gsapi,PK-12,,The O'Farrell Charter School,33,"18,3,1,0,1",Public charter
241,5 out of 5 stars,https://www.greatschools.org/california/ramona/31816-Ramona-Community-Montessori/?s_cid=gsapi,K-6,,Ramona Community Montessori,7,"1,0,0,0,0",Public
572,3 out of 5 stars,https://www.greatschools.org/california/santee/6070-Pride-Academy-At-Prospect-Avenue/?s_cid=gsapi,K-8,,Pride Academy At Prospect Avenue,14,"3,1,1,1,2",Public
512,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6187-Lindbergh-Schweitzer-Elementary-School/?s_cid=gsapi,K-6,,Lindbergh/Schweitzer Elementary School,27,"14,6,3,3,0",Public
543,1 out of 5 stars,https://www.greatschools.org/california/stockton/6619-Adams-Elementary-School/?s_cid=gsapi,K-8,,Adams Elementary School,9,"0,0,2,0,7",Public
477,4 out of 5 stars,https://www.greatschools.org/california/san-diego/16997-Albert-Einstein-Academy-Charter-Middle/?s_cid=gsapi,6-8,,Albert Einstein Academy Charter Middle,52,"15,5,2,0,3",Public charter
477,4 out of 5 stars,https://www.greatschools.org/california/san-diego/16997-Albert-Einstein-Academy-Charter-Middle/?s_cid=gsapi,6-8,,Albert Einstein Academy Charter Middle,52,"15,5,2,0,3",Public charter
953,4 out of 5 stars,https://www.greatschools.org/california/pomona/2805-Alcott-Elementary-School/?s_cid=gsapi,PK-6,,Alcott Elementary School,26,"5,4,1,1,2",Public
574,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6095-Angier-Elementary-School/?s_cid=gsapi,K-5,,Angier Elementary School,14,"7,3,1,1,1",Public
459,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6096-Audubon-K-8/?s_cid=gsapi,K-8,,Audubon K-8,5,"1,1,0,0,0",Public
696,4 out of 5 stars,https://www.greatschools.org/california/el-monte/2656-Baker-Elementary-School/?s_cid=gsapi,K-5,,Baker Elementary School,3,"2,0,0,1,0",Public
743,4 out of 5 stars,https://www.greatschools.org/california/glendale/1770-Balboa-Elementary-School/?s_cid=gsapi,K-6,,Balboa Elementary School,38,"14,3,2,1,5",Public
440,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6099-Barnard-Elementary-School/?s_cid=gsapi,K-6,,Barnard Elementary School,60,"39,5,2,2,3",Public
433,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6100-Bay-Park-Elementary-School/?s_cid=gsapi,K-5,,Bay Park Elementary School,26,"12,3,2,1,0",Public
912,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6102-Bell-Middle-School/?s_cid=gsapi,6-8,,Bell Middle School,56,"14,7,7,2,12",Public
559,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6103-Benchley-Weinberger-Elementary-School/?s_cid=gsapi,K-5,,Benchley/Weinberger Elementary School,42,"18,7,3,3,5",Public
647,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6104-Bethune-K-8/?s_cid=gsapi,K-8,,Bethune K-8,17,"4,3,2,2,5",Public
520,4 out of 5 stars,https://www.greatschools.org/california/la-jolla/6105-Bird-Rock-Elementary-School/?s_cid=gsapi,K-5,,Bird Rock Elementary School,15,"6,0,1,0,2",Public
818,4 out of 5 stars,https://www.greatschools.org/california/fresno/799-Birney-Elementary-School/?s_cid=gsapi,K-6,,Birney Elementary School,4,"2,0,0,0,1",Public
523,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6107-Boone-Elementary-School/?s_cid=gsapi,K-5,,Boone Elementary School,11,"8,0,1,0,0",Public
758,5 out of 5 stars,https://www.greatschools.org/california/modesto/7239-Burbank-Elementary-School/?s_cid=gsapi,K-6,,Burbank Elementary School,1,"1,0,0,0,0",Public
